T_out,Press_mm_hg,RH_out
8.08,753.5,86.5
8.2,753.5,86
8.25,753.52,85.67
8.3,753.53,85.33
8.35,753.55,85
8.4,753.57,84.67
8.45,753.58,84.33
8.5,753.6,84
8.55,753.47,83.83
8.6,753.33,83.67
8.65,753.2,83.5
8.7,753.07,83.33
8.75,752.93,83.17
8.8,752.8,83
8.98,752.68,82.17
9.17,752.57,81.33
9.35,752.45,80.5
9.53,752.33,79.67
9.72,752.22,78.83
9.9,752.1,78
9.97,751.95,77.67
10.03,751.8,77.33
10.1,751.65,77
10.17,751.5,76.67
10.23,751.35,76.33
10.3,751.2,76
10.38,751.02,75.5
10.47,750.83,75
10.55,750.65,74.5
10.63,750.47,74
10.72,750.28,73.5
10.8,750.1,73
10.77,749.95,73
10.73,749.8,73
10.7,749.65,73
10.67,749.5,73
10.63,749.35,73
10.6,749.2,73
10.67,749.03,72.83
10.73,748.87,72.67
10.8,748.7,72.5
10.87,748.53,72.33
10.93,748.37,72.17
11,748.2,72
10.93,748.08,72.5
10.87,747.97,73
10.8,747.85,73.5
10.73,747.73,74
10.67,747.62,74.5
10.6,747.5,75
10.58,747.38,74.83
10.57,747.27,74.67
10.55,747.15,74.5
10.53,747.03,74.33
10.52,746.92,74.17
10.5,746.8,74
10.43,746.7,73.67
10.37,746.6,73.33
10.3,746.5,73
10.23,746.4,72.67
10.17,746.3,72.33
10.1,746.2,72
10.25,745.98,71
10.4,745.77,70
10.55,745.55,69
10.7,745.33,68
10.85,745.12,67
11,744.9,66
11.15,744.72,65.33
11.3,744.53,64.67
11.45,744.35,64
11.6,744.17,63.33
11.75,743.98,62.67
11.9,743.8,62
11.77,743.73,62.5
11.63,743.67,63
11.5,743.6,63.5
11.37,743.53,64
11.23,743.47,64.5
11.1,743.4,65
11.03,743.32,65.17
10.97,743.23,65.33
10.9,743.15,65.5
10.83,743.07,65.67
10.77,742.98,65.83
10.7,742.9,66
10.68,742.85,66
10.67,742.8,66
10.65,742.75,66
10.63,742.7,66
10.62,742.65,66
10.6,742.6,66
10.65,742.52,65.67
10.7,742.43,65.33
10.75,742.35,65
10.8,742.27,64.67
10.85,742.18,64.33
10.9,742.1,64
11.08,742.05,63
11.27,742,62
11.45,741.95,61
11.63,741.9,60
11.82,741.85,59
12,741.8,58
11.77,741.68,60
11.53,741.57,62
11.3,741.45,64
11.07,741.33,66
10.83,741.22,68
10.6,741.1,70
10.42,741.05,71.83
10.23,741,73.67
10.05,740.95,75.5
9.87,740.9,77.33
9.68,740.85,79.17
9.5,740.8,81
9.32,740.88,83.17
9.13,740.97,85.33
8.95,741.05,87.5
8.77,741.13,89.67
8.58,741.22,91.83
8.4,741.3,94
8.33,741.43,92.83
8.27,741.57,91.67
8.2,741.7,90.5
8.13,741.83,89.33
8.07,741.97,88.17
8,742.1,87
7.83,742.23,87.33
7.67,742.37,87.67
7.5,742.5,88
7.33,742.63,88.33
7.17,742.77,88.67
7,742.9,89
7,743,89.17
7,743.1,89.33
7,743.2,89.5
7,743.3,89.67
7,743.4,89.83
7,743.5,90
6.97,743.62,89
6.93,743.73,88
6.9,743.85,87
6.87,743.97,86
6.83,744.08,85
6.8,744.2,84
6.83,744.28,84.17
6.87,744.37,84.33
6.9,744.45,84.5
6.93,744.53,84.67
6.97,744.62,84.83
7,744.7,85
7.1,744.75,84.17
7.2,744.8,83.33
7.3,744.85,82.5
7.4,744.9,81.67
7.5,744.95,80.83
7.6,745,80
7.6,745.12,79
7.6,745.23,78
7.6,745.35,77
7.6,745.47,76
7.6,745.58,75
7.6,745.7,74
7.73,745.77,73.83
7.87,745.83,73.67
8,745.9,73.5
8.13,745.97,73.33
8.27,746.03,73.17
8.4,746.1,73
8.4,746.17,72
8.4,746.23,71
8.4,746.3,70
8.4,746.37,69
8.4,746.43,68
8.4,746.5,67
8.35,746.53,67.5
8.3,746.57,68
8.25,746.6,68.5
8.2,746.63,69
8.15,746.67,69.5
8.1,746.7,70
8.18,746.72,69.17
8.27,746.73,68.33
8.35,746.75,67.5
8.43,746.77,66.67
8.52,746.78,65.83
8.6,746.8,65
8.53,746.88,65.17
8.47,746.97,65.33
8.4,747.05,65.5
8.33,747.13,65.67
8.27,747.22,65.83
8.2,747.3,66
8.1,747.25,66
8,747.2,66
7.9,747.15,66
7.8,747.1,66
7.7,747.05,66
7.6,747,66
7.58,747.03,66
7.57,747.07,66
7.55,747.1,66
7.53,747.13,66
7.52,747.17,66
7.5,747.2,66
7.43,747.12,66.17
7.37,747.03,66.33
7.3,746.95,66.5
7.23,746.87,66.67
7.17,746.78,66.83
7.1,746.7,67
7.12,746.62,67.33
7.13,746.53,67.67
7.15,746.45,68
7.17,746.37,68.33
7.18,746.28,68.67
7.2,746.2,69
7.27,746.12,69.17
7.33,746.03,69.33
7.4,745.95,69.5
7.47,745.87,69.67
7.53,745.78,69.83
7.6,745.7,70
7.67,745.53,69.83
7.73,745.37,69.67
7.8,745.2,69.5
7.87,745.03,69.33
7.93,744.87,69.17
8,744.7,69
7.88,744.5,70.67
7.77,744.3,72.33
7.65,744.1,74
7.53,743.9,75.67
7.42,743.7,77.33
7.3,743.5,79
7.42,743.38,78.33
7.53,743.27,77.67
7.65,743.15,77
7.77,743.03,76.33
7.88,742.92,75.67
8,742.8,75
7.95,742.57,76.33
7.9,742.33,77.67
7.85,742.1,79
7.8,741.87,80.33
7.75,741.63,81.67
7.7,741.4,83
7.77,741.23,83.17
7.83,741.07,83.33
7.9,740.9,83.5
7.97,740.73,83.67
8.03,740.57,83.83
8.1,740.4,84
8.1,740.17,85.5
8.1,739.93,87
8.1,739.7,88.5
8.1,739.47,90
8.1,739.23,91.5
8.1,739,93
8,739.03,92.67
7.9,739.07,92.33
7.8,739.1,92
7.7,739.13,91.67
7.6,739.17,91.33
7.5,739.2,91
7.57,739.12,91
7.63,739.03,91
7.7,738.95,91
7.77,738.87,91
7.83,738.78,91
7.9,738.7,91
8.13,738.68,88.83
8.37,738.67,86.67
8.6,738.65,84.5
8.83,738.63,82.33
9.07,738.62,80.17
9.3,738.6,78
9.18,738.57,78.5
9.07,738.53,79
8.95,738.5,79.5
8.83,738.47,80
8.72,738.43,80.5
8.6,738.4,81
8.62,738.5,79.67
8.63,738.6,78.33
8.65,738.7,77
8.67,738.8,75.67
8.68,738.9,74.33
8.7,739,73
8.68,738.95,73.5
8.67,738.9,74
8.65,738.85,74.5
8.63,738.8,75
8.62,738.75,75.5
8.6,738.7,76
8.5,738.8,76.67
8.4,738.9,77.33
8.3,739,78
8.2,739.1,78.67
8.1,739.2,79.33
8,739.3,80
7.88,739.32,80.33
7.77,739.33,80.67
7.65,739.35,81
7.53,739.37,81.33
7.42,739.38,81.67
7.3,739.4,82
7.63,739.38,79.67
7.97,739.37,77.33
8.3,739.35,75
8.63,739.33,72.67
8.97,739.32,70.33
9.3,739.3,68
9.02,739.35,68.5
8.73,739.4,69
8.45,739.45,69.5
8.17,739.5,70
7.88,739.55,70.5
7.6,739.6,71
7.68,739.63,70.67
7.77,739.67,70.33
7.85,739.7,70
7.93,739.73,69.67
8.02,739.77,69.33
8.1,739.8,69
8.08,739.85,68.83
8.07,739.9,68.67
8.05,739.95,68.5
8.03,740,68.33
8.02,740.05,68.17
8,740.1,68
7.98,740.25,69.17
7.97,740.4,70.33
7.95,740.55,71.5
7.93,740.7,72.67
7.92,740.85,73.83
7.9,741,75
7.92,741.02,74
7.93,741.03,73
7.95,741.05,72
7.97,741.07,71
7.98,741.08,70
8,741.1,69
7.97,741.23,69.33
7.93,741.37,69.67
7.9,741.5,70
7.87,741.63,70.33
7.83,741.77,70.67
7.8,741.9,71
7.78,742.02,70.83
7.77,742.13,70.67
7.75,742.25,70.5
7.73,742.37,70.33
7.72,742.48,70.17
7.7,742.6,70
7.72,742.72,69.83
7.73,742.83,69.67
7.75,742.95,69.5
7.77,743.07,69.33
7.78,743.18,69.17
7.8,743.3,69
7.77,743.42,69
7.73,743.53,69
7.7,743.65,69
7.67,743.77,69
7.63,743.88,69
7.6,744,69
7.5,744.07,69.83
7.4,744.13,70.67
7.3,744.2,71.5
7.2,744.27,72.33
7.1,744.33,73.17
7,744.4,74
6.9,744.45,75
6.8,744.5,76
6.7,744.55,77
6.6,744.6,78
6.5,744.65,79
6.4,744.7,80
6.37,744.72,79.83
6.33,744.73,79.67
6.3,744.75,79.5
6.27,744.77,79.33
6.23,744.78,79.17
6.2,744.8,79
6.22,744.8,79
6.23,744.8,79
6.25,744.8,79
6.27,744.8,79
6.28,744.8,79
6.3,744.8,79
6.3,744.77,79.83
6.3,744.73,80.67
6.3,744.7,81.5
6.3,744.67,82.33
6.3,744.63,83.17
6.3,744.6,84
6.3,744.48,83.5
6.3,744.37,83
6.3,744.25,82.5
6.3,744.13,82
6.3,744.02,81.5
6.3,743.9,81
6.28,743.78,80.67
6.27,743.67,80.33
6.25,743.55,80
6.23,743.43,79.67
6.22,743.32,79.33
6.2,743.2,79
6.17,743.1,79.17
6.13,743,79.33
6.1,742.9,79.5
6.07,742.8,79.67
6.03,742.7,79.83
6,742.6,80
6.07,742.42,80
6.13,742.23,80
6.2,742.05,80
6.27,741.87,80
6.33,741.68,80
6.4,741.5,80
6.4,741.23,80.67
6.4,740.97,81.33
6.4,740.7,82
6.4,740.43,82.67
6.4,740.17,83.33
6.4,739.9,84
6.33,739.62,85.5
6.27,739.33,87
6.2,739.05,88.5
6.13,738.77,90
6.07,738.48,91.5
6,738.2,93
5.92,737.83,93
5.83,737.47,93
5.75,737.1,93
5.67,736.73,93
5.58,736.37,93
5.5,736,93
5.42,735.57,93.67
5.33,735.13,94.33
5.25,734.7,95
5.17,734.27,95.67
5.08,733.83,96.33
5,733.4,97
5,733,97.33
5,732.6,97.67
5,732.2,98
5,731.8,98.33
5,731.4,98.67
5,731,99
5,730.72,98.83
5,730.43,98.67
5,730.15,98.5
5,729.87,98.33
5,729.58,98.17
5,729.3,98
4.93,729.33,98.17
4.87,729.37,98.33
4.8,729.4,98.5
4.73,729.43,98.67
4.67,729.47,98.83
4.6,729.5,99
4.55,729.7,98.5
4.5,729.9,98
4.45,730.1,97.5
4.4,730.3,97
4.35,730.5,96.5
4.3,730.7,96
4.12,730.98,95.83
3.93,731.27,95.67
3.75,731.55,95.5
3.57,731.83,95.33
3.38,732.12,95.17
3.2,732.4,95
3.35,732.72,94.33
3.5,733.03,93.67
3.65,733.35,93
3.8,733.67,92.33
3.95,733.98,91.67
4.1,734.3,91
4.13,734.43,91.33
4.17,734.57,91.67
4.2,734.7,92
4.23,734.83,92.33
4.27,734.97,92.67
4.3,735.1,93
4.23,735.27,93
4.17,735.43,93
4.1,735.6,93
4.03,735.77,93
3.97,735.93,93
3.9,736.1,93
3.83,736.22,93
3.77,736.33,93
3.7,736.45,93
3.63,736.57,93
3.57,736.68,93
3.5,736.8,93
3.45,736.92,93
3.4,737.03,93
3.35,737.15,93
3.3,737.27,93
3.25,737.38,93
3.2,737.5,93
3.28,737.55,92.67
3.37,737.6,92.33
3.45,737.65,92
3.53,737.7,91.67
3.62,737.75,91.33
3.7,737.8,91
3.65,737.9,90.5
3.6,738,90
3.55,738.1,89.5
3.5,738.2,89
3.45,738.3,88.5
3.4,738.4,88
3.33,738.45,88
3.27,738.5,88
3.2,738.55,88
3.13,738.6,88
3.07,738.65,88
3,738.7,88
3.05,738.75,88
3.1,738.8,88
3.15,738.85,88
3.2,738.9,88
3.25,738.95,88
3.3,739,88
3.28,738.98,88.17
3.27,738.97,88.33
3.25,738.95,88.5
3.23,738.93,88.67
3.22,738.92,88.83
3.2,738.9,89
3.23,738.9,89
3.27,738.9,89
3.3,738.9,89
3.33,738.9,89
3.37,738.9,89
3.4,738.9,89
3.27,738.92,89.5
3.13,738.93,90
3,738.95,90.5
2.87,738.97,91
2.73,738.98,91.5
2.6,739,92
2.58,739.03,92.17
2.57,739.07,92.33
2.55,739.1,92.5
2.53,739.13,92.67
2.52,739.17,92.83
2.5,739.2,93
2.5,739.23,93.17
2.5,739.27,93.33
2.5,739.3,93.5
2.5,739.33,93.67
2.5,739.37,93.83
2.5,739.4,94
2.5,739.42,94
2.5,739.43,94
2.5,739.45,94
2.5,739.47,94
2.5,739.48,94
2.5,739.5,94
2.57,739.57,94
2.63,739.63,94
2.7,739.7,94
2.77,739.77,94
2.83,739.83,94
2.9,739.9,94
3.03,739.95,94
3.17,740,94
3.3,740.05,94
3.43,740.1,94
3.57,740.15,94
3.7,740.2,94
3.8,740.28,93.67
3.9,740.37,93.33
4,740.45,93
4.1,740.53,92.67
4.2,740.62,92.33
4.3,740.7,92
4.47,740.78,91.67
4.63,740.87,91.33
4.8,740.95,91
4.97,741.03,90.67
5.13,741.12,90.33
5.3,741.2,90
5.33,741.3,89.67
5.37,741.4,89.33
5.4,741.5,89
5.43,741.6,88.67
5.47,741.7,88.33
5.5,741.8,88
5.38,741.82,88.83
5.27,741.83,89.67
5.15,741.85,90.5
5.03,741.87,91.33
4.92,741.88,92.17
4.8,741.9,93
4.88,741.97,93
4.97,742.03,93
5.05,742.1,93
5.13,742.17,93
5.22,742.23,93
5.3,742.3,93
5.4,742.4,92.17
5.5,742.5,91.33
5.6,742.6,90.5
5.7,742.7,89.67
5.8,742.8,88.83
5.9,742.9,88
5.97,742.95,87.17
6.03,743,86.33
6.1,743.05,85.5
6.17,743.1,84.67
6.23,743.15,83.83
6.3,743.2,83
6.2,743.3,84.33
6.1,743.4,85.67
6,743.5,87
5.9,743.6,88.33
5.8,743.7,89.67
5.7,743.8,91
5.6,743.95,91
5.5,744.1,91
5.4,744.25,91
5.3,744.4,91
5.2,744.55,91
5.1,744.7,91
5.02,744.8,91.67
4.93,744.9,92.33
4.85,745,93
4.77,745.1,93.67
4.68,745.2,94.33
4.6,745.3,95
4.67,745.4,94.33
4.73,745.5,93.67
4.8,745.6,93
4.87,745.7,92.33
4.93,745.8,91.67
5,745.9,91
4.97,745.97,91.67
4.93,746.03,92.33
4.9,746.1,93
4.87,746.17,93.67
4.83,746.23,94.33
4.8,746.3,95
4.8,746.38,95
4.8,746.47,95
4.8,746.55,95
4.8,746.63,95
4.8,746.72,95
4.8,746.8,95
4.75,746.85,94.83
4.7,746.9,94.67
4.65,746.95,94.5
4.6,747,94.33
4.55,747.05,94.17
4.5,747.1,94
4.28,747.13,94.5
4.07,747.17,95
3.85,747.2,95.5
3.63,747.23,96
3.42,747.27,96.5
3.2,747.3,97
3.32,747.37,97.17
3.43,747.43,97.33
3.55,747.5,97.5
3.67,747.57,97.67
3.78,747.63,97.83
3.9,747.7,98
3.92,747.75,97.83
3.93,747.8,97.67
3.95,747.85,97.5
3.97,747.9,97.33
3.98,747.95,97.17
4,748,97
4,748.03,97
4,748.07,97
4,748.1,97
4,748.13,97
4,748.17,97
4,748.2,97
3.75,748.27,97
3.5,748.33,97
3.25,748.4,97
3,748.47,97
2.75,748.53,97
2.5,748.6,97
2.4,748.6,97.17
2.3,748.6,97.33
2.2,748.6,97.5
2.1,748.6,97.67
2,748.6,97.83
1.9,748.6,98
1.87,748.6,98.17
1.83,748.6,98.33
1.8,748.6,98.5
1.77,748.6,98.67
1.73,748.6,98.83
1.7,748.6,99
1.7,748.63,99
1.7,748.67,99
1.7,748.7,99
1.7,748.73,99
1.7,748.77,99
1.7,748.8,99
1.63,748.8,98.83
1.57,748.8,98.67
1.5,748.8,98.5
1.43,748.8,98.33
1.37,748.8,98.17
1.3,748.8,98
1.5,748.87,97.83
1.7,748.93,97.67
1.9,749,97.5
2.1,749.07,97.33
2.3,749.13,97.17
2.5,749.2,97
2.67,749.23,96.83
2.83,749.27,96.67
3,749.3,96.5
3.17,749.33,96.33
3.33,749.37,96.17
3.5,749.4,96
3.58,749.42,95.67
3.67,749.43,95.33
3.75,749.45,95
3.83,749.47,94.67
3.92,749.48,94.33
4,749.5,94
4.27,749.48,93
4.53,749.47,92
4.8,749.45,91
5.07,749.43,90
5.33,749.42,89
5.6,749.4,88
5.5,749.37,88.17
5.4,749.33,88.33
5.3,749.3,88.5
5.2,749.27,88.67
5.1,749.23,88.83
5,749.2,89
5.02,749.15,88.17
5.03,749.1,87.33
5.05,749.05,86.5
5.07,749,85.67
5.08,748.95,84.83
5.1,748.9,84
5.2,748.87,84.5
5.3,748.83,85
5.4,748.8,85.5
5.5,748.77,86
5.6,748.73,86.5
5.7,748.7,87
5.65,748.7,86.67
5.6,748.7,86.33
5.55,748.7,86
5.5,748.7,85.67
5.45,748.7,85.33
5.4,748.7,85
5.35,748.68,86.17
5.3,748.67,87.33
5.25,748.65,88.5
5.2,748.63,89.67
5.15,748.62,90.83
5.1,748.6,92
4.83,748.6,92.5
4.57,748.6,93
4.3,748.6,93.5
4.03,748.6,94
3.77,748.6,94.5
3.5,748.6,95
3.58,748.62,95
3.67,748.63,95
3.75,748.65,95
3.83,748.67,95
3.92,748.68,95
4,748.7,95
3.78,748.7,95.17
3.57,748.7,95.33
3.35,748.7,95.5
3.13,748.7,95.67
2.92,748.7,95.83
2.7,748.7,96
2.67,748.72,96.17
2.63,748.73,96.33
2.6,748.75,96.5
2.57,748.77,96.67
2.53,748.78,96.83
2.5,748.8,97
2.7,748.77,96.83
2.9,748.73,96.67
3.1,748.7,96.5
3.3,748.67,96.33
3.5,748.63,96.17
3.7,748.6,96
3.5,748.53,96
3.3,748.47,96
3.1,748.4,96
2.9,748.33,96
2.7,748.27,96
2.5,748.2,96
2.58,748.18,95.83
2.67,748.17,95.67
2.75,748.15,95.5
2.83,748.13,95.33
2.92,748.12,95.17
3,748.1,95
3,748.05,95
3,748,95
3,747.95,95
3,747.9,95
3,747.85,95
3,747.8,95
2.92,747.72,94.83
2.83,747.63,94.67
2.75,747.55,94.5
2.67,747.47,94.33
2.58,747.38,94.17
2.5,747.3,94
2.48,747.23,93.83
2.47,747.17,93.67
2.45,747.1,93.5
2.43,747.03,93.33
2.42,746.97,93.17
2.4,746.9,93
2.18,746.87,93.33
1.97,746.83,93.67
1.75,746.8,94
1.53,746.77,94.33
1.32,746.73,94.67
1.1,746.7,95
1.28,746.65,95
1.47,746.6,95
1.65,746.55,95
1.83,746.5,95
2.02,746.45,95
2.2,746.4,95
2.28,746.32,95
2.37,746.23,95
2.45,746.15,95
2.53,746.07,95
2.62,745.98,95
2.7,745.9,95
2.67,745.78,95
2.63,745.67,95
2.6,745.55,95
2.57,745.43,95
2.53,745.32,95
2.5,745.2,95
2.48,745.15,94.67
2.47,745.1,94.33
2.45,745.05,94
2.43,745,93.67
2.42,744.95,93.33
2.4,744.9,93
2.45,744.83,92.67
2.5,744.77,92.33
2.55,744.7,92
2.6,744.63,91.67
2.65,744.57,91.33
2.7,744.5,91
2.75,744.43,90.17
2.8,744.37,89.33
2.85,744.3,88.5
2.9,744.23,87.67
2.95,744.17,86.83
3,744.1,86
3.15,744.02,84.83
3.3,743.93,83.67
3.45,743.85,82.5
3.6,743.77,81.33
3.75,743.68,80.17
3.9,743.6,79
4.05,743.5,78.33
4.2,743.4,77.67
4.35,743.3,77
4.5,743.2,76.33
4.65,743.1,75.67
4.8,743,75
4.72,742.83,74.67
4.63,742.67,74.33
4.55,742.5,74
4.47,742.33,73.67
4.38,742.17,73.33
4.3,742,73
4.55,741.88,71.83
4.8,741.77,70.67
5.05,741.65,69.5
5.3,741.53,68.33
5.55,741.42,67.17
5.8,741.3,66
5.83,741.2,66
5.87,741.1,66
5.9,741,66
5.93,740.9,66
5.97,740.8,66
6,740.7,66
5.98,740.67,66
5.97,740.63,66
5.95,740.6,66
5.93,740.57,66
5.92,740.53,66
5.9,740.5,66
5.75,740.5,66.5
5.6,740.5,67
5.45,740.5,67.5
5.3,740.5,68
5.15,740.5,68.5
5,740.5,69
4.75,740.55,70.5
4.5,740.6,72
4.25,740.65,73.5
4,740.7,75
3.75,740.75,76.5
3.5,740.8,78
3.42,740.87,78.33
3.33,740.93,78.67
3.25,741,79
3.17,741.07,79.33
3.08,741.13,79.67
3,741.2,80
2.92,741.22,80.5
2.83,741.23,81
2.75,741.25,81.5
2.67,741.27,82
2.58,741.28,82.5
2.5,741.3,83
2.45,741.3,83
2.4,741.3,83
2.35,741.3,83
2.3,741.3,83
2.25,741.3,83
2.2,741.3,83
2.2,741.3,83.5
2.2,741.3,84
2.2,741.3,84.5
2.2,741.3,85
2.2,741.3,85.5
2.2,741.3,86
2.03,741.32,86.83
1.87,741.33,87.67
1.7,741.35,88.5
1.53,741.37,89.33
1.37,741.38,90.17
1.2,741.4,91
1.23,741.43,90.67
1.27,741.47,90.33
1.3,741.5,90
1.33,741.53,89.67
1.37,741.57,89.33
1.4,741.6,89
1.33,741.58,89.17
1.27,741.57,89.33
1.2,741.55,89.5
1.13,741.53,89.67
1.07,741.52,89.83
1,741.5,90
0.88,741.4,90.17
0.77,741.3,90.33
0.65,741.2,90.5
0.53,741.1,90.67
0.42,741,90.83
0.3,740.9,91
0.2,740.83,91.17
0.1,740.77,91.33
0,740.7,91.5
-0.1,740.63,91.67
-0.2,740.57,91.83
-0.3,740.5,92
-0.17,740.43,92
-0.03,740.37,92
0.1,740.3,92
0.23,740.23,92
0.37,740.17,92
0.5,740.1,92
0.63,740.05,91.17
0.77,740,90.33
0.9,739.95,89.5
1.03,739.9,88.67
1.17,739.85,87.83
1.3,739.8,87
1.27,739.73,87.17
1.23,739.67,87.33
1.2,739.6,87.5
1.17,739.53,87.67
1.13,739.47,87.83
1.1,739.4,88
1.2,739.28,87.83
1.3,739.17,87.67
1.4,739.05,87.5
1.5,738.93,87.33
1.6,738.82,87.17
1.7,738.7,87
1.52,738.58,88
1.33,738.47,89
1.15,738.35,90
0.97,738.23,91
0.78,738.12,92
0.6,738,93
0.72,737.92,92.67
0.83,737.83,92.33
0.95,737.75,92
1.07,737.67,91.67
1.18,737.58,91.33
1.3,737.5,91
1.5,737.32,90.17
1.7,737.13,89.33
1.9,736.95,88.5
2.1,736.77,87.67
2.3,736.58,86.83
2.5,736.4,86
2.58,736.28,85.67
2.67,736.17,85.33
2.75,736.05,85
2.83,735.93,84.67
2.92,735.82,84.33
3,735.7,84
2.98,735.55,85.17
2.97,735.4,86.33
2.95,735.25,87.5
2.93,735.1,88.67
2.92,734.95,89.83
2.9,734.8,91
2.92,734.65,91.5
2.93,734.5,92
2.95,734.35,92.5
2.97,734.2,93
2.98,734.05,93.5
3,733.9,94
3.03,733.73,94.17
3.07,733.57,94.33
3.1,733.4,94.5
3.13,733.23,94.67
3.17,733.07,94.83
3.2,732.9,95
3.28,732.75,95
3.37,732.6,95
3.45,732.45,95
3.53,732.3,95
3.62,732.15,95
3.7,732,95
3.72,731.92,95
3.73,731.83,95
3.75,731.75,95
3.77,731.67,95
3.78,731.58,95
3.8,731.5,95
3.78,731.43,95
3.77,731.37,95
3.75,731.3,95
3.73,731.23,95
3.72,731.17,95
3.7,731.1,95
3.67,731.07,95.17
3.63,731.03,95.33
3.6,731,95.5
3.57,730.97,95.67
3.53,730.93,95.83
3.5,730.9,96
3.5,730.92,96
3.5,730.93,96
3.5,730.95,96
3.5,730.97,96
3.5,730.98,96
3.5,731,96
3.5,731.03,96
3.5,731.07,96
3.5,731.1,96
3.5,731.13,96
3.5,731.17,96
3.5,731.2,96
3.47,731.25,96.17
3.43,731.3,96.33
3.4,731.35,96.5
3.37,731.4,96.67
3.33,731.45,96.83
3.3,731.5,97
3.27,731.55,97.17
3.23,731.6,97.33
3.2,731.65,97.5
3.17,731.7,97.67
3.13,731.75,97.83
3.1,731.8,98
3.08,731.87,98
3.07,731.93,98
3.05,732,98
3.03,732.07,98
3.02,732.13,98
3,732.2,98
2.98,732.32,98
2.97,732.43,98
2.95,732.55,98
2.93,732.67,98
2.92,732.78,98
2.9,732.9,98
2.87,732.95,98.17
2.83,733,98.33
2.8,733.05,98.5
2.77,733.1,98.67
2.73,733.15,98.83
2.7,733.2,99
2.7,733.22,99
2.7,733.23,99
2.7,733.25,99
2.7,733.27,99
2.7,733.28,99
2.7,733.3,99
2.7,733.37,98.83
2.7,733.43,98.67
2.7,733.5,98.5
2.7,733.57,98.33
2.7,733.63,98.17
2.7,733.7,98
2.7,733.78,97.83
2.7,733.87,97.67
2.7,733.95,97.5
2.7,734.03,97.33
2.7,734.12,97.17
2.7,734.2,97
2.67,734.23,96.67
2.63,734.27,96.33
2.6,734.3,96
2.57,734.33,95.67
2.53,734.37,95.33
2.5,734.4,95
2.5,734.45,95.17
2.5,734.5,95.33
2.5,734.55,95.5
2.5,734.6,95.67
2.5,734.65,95.83
2.5,734.7,96
2.48,734.75,96.17
2.47,734.8,96.33
2.45,734.85,96.5
2.43,734.9,96.67
2.42,734.95,96.83
2.4,735,97
2.4,735.07,97
2.4,735.13,97
2.4,735.2,97
2.4,735.27,97
2.4,735.33,97
2.4,735.4,97
2.42,735.47,97
2.43,735.53,97
2.45,735.6,97
2.47,735.67,97
2.48,735.73,97
2.5,735.8,97
2.53,735.88,96.67
2.57,735.97,96.33
2.6,736.05,96
2.63,736.13,95.67
2.67,736.22,95.33
2.7,736.3,95
2.7,736.4,95
2.7,736.5,95
2.7,736.6,95
2.7,736.7,95
2.7,736.8,95
2.7,736.9,95
2.75,737,95
2.8,737.1,95
2.85,737.2,95
2.9,737.3,95
2.95,737.4,95
3,737.5,95
3.05,737.55,94
3.1,737.6,93
3.15,737.65,92
3.2,737.7,91
3.25,737.75,90
3.3,737.8,89
3.32,737.93,88.83
3.33,738.07,88.67
3.35,738.2,88.5
3.37,738.33,88.33
3.38,738.47,88.17
3.4,738.6,88
3.38,738.68,88.17
3.37,738.77,88.33
3.35,738.85,88.5
3.33,738.93,88.67
3.32,739.02,88.83
3.3,739.1,89
3.28,739.23,89.33
3.27,739.37,89.67
3.25,739.5,90
3.23,739.63,90.33
3.22,739.77,90.67
3.2,739.9,91
3.12,740.05,91.33
3.03,740.2,91.67
2.95,740.35,92
2.87,740.5,92.33
2.78,740.65,92.67
2.7,740.8,93
2.73,740.93,93
2.77,741.07,93
2.8,741.2,93
2.83,741.33,93
2.87,741.47,93
2.9,741.6,93
2.92,741.75,92.67
2.93,741.9,92.33
2.95,742.05,92
2.97,742.2,91.67
2.98,742.35,91.33
3,742.5,91
2.95,742.67,90.33
2.9,742.83,89.67
2.85,743,89
2.8,743.17,88.33
2.75,743.33,87.67
2.7,743.5,87
2.62,743.67,87
2.53,743.83,87
2.45,744,87
2.37,744.17,87
2.28,744.33,87
2.2,744.5,87
2.2,744.63,87.67
2.2,744.77,88.33
2.2,744.9,89
2.2,745.03,89.67
2.2,745.17,90.33
2.2,745.3,91
2.23,745.42,91.33
2.27,745.53,91.67
2.3,745.65,92
2.33,745.77,92.33
2.37,745.88,92.67
2.4,746,93
2.43,746.15,92.83
2.47,746.3,92.67
2.5,746.45,92.5
2.53,746.6,92.33
2.57,746.75,92.17
2.6,746.9,92
2.58,747.05,92.17
2.57,747.2,92.33
2.55,747.35,92.5
2.53,747.5,92.67
2.52,747.65,92.83
2.5,747.8,93
2.48,747.93,93
2.47,748.07,93
2.45,748.2,93
2.43,748.33,93
2.42,748.47,93
2.4,748.6,93
2.42,748.78,93
2.43,748.97,93
2.45,749.15,93
2.47,749.33,93
2.48,749.52,93
2.5,749.7,93
2.48,749.85,93
2.47,750,93
2.45,750.15,93
2.43,750.3,93
2.42,750.45,93
2.4,750.6,93
2.38,750.8,92.33
2.37,751,91.67
2.35,751.2,91
2.33,751.4,90.33
2.32,751.6,89.67
2.3,751.8,89
2.33,751.98,88.67
2.37,752.17,88.33
2.4,752.35,88
2.43,752.53,87.67
2.47,752.72,87.33
2.5,752.9,87
2.47,753.08,86
2.43,753.27,85
2.4,753.45,84
2.37,753.63,83
2.33,753.82,82
2.3,754,81
2.13,754.2,80.67
1.97,754.4,80.33
